sample_id,SLOT_MAIN_LENGTH,SLOT_MAIN_HEIGHT,PATCH_BRICK_1_SIDE_MARGIN,PATCH_BRICK_1_TOP_MARGIN,PATCH_BRICK_3_BOTTOM_MARGIN,PATCH_BRICK_2_HEIGHT_MARGIN,PATCH_BRICK_4_MARGIN,UPPER_CORNER_NOTCH_1_K1,UPPER_CORNER_NOTCH_1_K2,UPPER_CORNER_EAR_1_K1,UPPER_CORNER_EAR_1_K2,LOWER_CORNER_NOTCH_1_K1,LOWER_CORNER_NOTCH_1_K2,LOWER_CORNER_EAR_1_K1,LOWER_CORNER_EAR_1_K2,LOWER_CORNER_EAR_2_K1,LOWER_CORNER_EAR_2_K2,BRANCH_UP_1_K,BRANCH_UP_1_K2,BRANCH_UP_1_K3,BRANCH_DOWN_1_K,BRANCH_DOWN_1_K2,BRANCH_DOWN_1_K3,geometry_valid,geometry_error,final_conductor_components,allowed_bottom_y_mm,bottom_contact_pairs,non_bottom_intersection,non_bottom_intersection_pairs,non_bottom_crossing_pairs,non_bottom_overlapping_pairs,non_bottom_touching_pairs,non_bottom_intersection_details,intersection_check_completed,intersection_check_error,doe_rejection_reason,doe_eligible,doe_source
0,51.100439195651695,2,5.8699227444640352,2.786438998341509,2,14.376272973304193,4,0.63339474847268329,0.81126175636035625,0.55076564702372122,0.24497418429294765,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.93711781934032745,0.53398218451768475,0.80339958578353088,0.5,0.5,0,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 22, 0 22), (0 22, -0.5 22))""}}",True,,,True,latin
1,50.305677340393906,2,5.5887102455265385,2.7975855922488564,2,15.951399446140002,4,0.55240916428510767,0.93985042437179533,0.34920464863198802,0.19290471649507196,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.27412216770342612,0.79154036198862943,0.55216381913779078,0.5,0.5,0,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 22, 0 22), (0 22, -0.5 22))""}}",True,,,True,latin
2,56.140485580057614,2,6.1081608792805095,2.3872270466863581,2,15.035704713282723,4,0.71210740519552851,0.83585337275109328,0.53789027720109261,0.22917673981534686,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.8469452061627224,0.36452906137168545,0.54888759629701844,0.5,0.5,0,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 22, 0 22), (0 22, -0.5 22))""}}",True,,,True,latin
3,48.917425899418681,2,6.2445671109598102,2.593221148748468,2,13.562317714035302,4,0.61335467447026337,0.70485781878096931,0.30045043184679365,0.072110784641689199,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.87894150135809401,0.77360153355862393,0.21101560612597964,0.5,0.5,0,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 22, 0 22), (0 22, -0.5 22))""}}",True,,,True,latin
4,47.815649805437218,2,5.6584070804123687,2.4182272723692493,2,14.383007371112676,4,0.58934060065868876,0.83100531108548958,0.36768008164622584,0.29858685903617382,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.73757096364419339,0.35691244249249582,0.86215825583452887,0.5,0.5,0,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 22, 0 22), (0 22, -0.5 22))""}}",True,,,True,latin
5,57.666031316880307,2,6.0479034557984113,2.56151098010838,2,15.076821098671243,4,0.56989072838107613,0.83611798018721906,0.53094404810058293,0.27785672560648267,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.65681302042116163,0.62564602453462448,0.56946510109396775,0.5,0.5,0,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 22, 0 22), (0 22, -0.5 22))""}}",True,,,True,latin
6,50.753081529155907,2,6.5194880318180335,2.7557198017203013,2,16.303012115874715,4,0.64493628144677118,0.79513648945586468,0.4526087323789324,0.2768739064208009,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.39255390213595626,0.18930972316248945,0.40932656792373318,0.5,0.5,0,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 22, 0 22), (0 22, -0.5 22))""}}",True,,,True,latin
7,57.011906061524044,2,5.8805607478765074,2.7579302385851512,2,14.516982398730296,4,0.73873303295343007,0.90970944865235726,0.42221582224762461,0.21301963054354622,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.38695133617145788,0.65844377741524596,0.24426966962206098,0.5,0.5,0,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 22, 0 22), (0 22, -0.5 22))""}}",True,,,True,latin
8,49.161383758452942,2,6.0735229312829153,2.7820205494818651,2,13.533825936545945,4,0.60380440798524848,0.95580865852157637,0.35767077386752616,0.061131308852697672,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.38284413027999276,0.64080195341120905,0.72130358956365359,0.5,0.5,0,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 22, 0 22), (0 22, -0.5 22))""}}",True,,,True,latin
9,51.845766791118599,2,6.2097027527610607,2.4964560337016777,2,15.012371926721308,4,0.56335448436302915,0.85398394347974882,0.46809566448387691,0.15533976263930005,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.37891246182186633,0.24711140202185633,0.18702822433211624,0.5,0.5,0,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 22, 0 22), (0 22, -0.5 22))""}}",True,,,True,latin
