sample_id,SLOT_MAIN_LENGTH,SLOT_MAIN_HEIGHT,PATCH_BRICK_1_SIDE_MARGIN,PATCH_BRICK_1_TOP_MARGIN,PATCH_BRICK_3_BOTTOM_MARGIN,PATCH_BRICK_2_HEIGHT_MARGIN,PATCH_BRICK_4_MARGIN,UPPER_CORNER_NOTCH_1_K1,UPPER_CORNER_NOTCH_1_K2,UPPER_CORNER_EAR_1_K1,UPPER_CORNER_EAR_1_K2,LOWER_CORNER_NOTCH_1_K1,LOWER_CORNER_NOTCH_1_K2,LOWER_CORNER_EAR_1_K1,LOWER_CORNER_EAR_1_K2,LOWER_CORNER_EAR_2_K1,LOWER_CORNER_EAR_2_K2,BRANCH_UP_1_K,BRANCH_UP_1_K2,BRANCH_UP_1_K3,BRANCH_DOWN_1_K,BRANCH_DOWN_1_K2,BRANCH_DOWN_1_K3,geometry_valid,geometry_error,final_conductor_components,allowed_bottom_y_mm,bottom_contact_pairs,non_bottom_intersection,non_bottom_intersection_pairs,non_bottom_crossing_pairs,non_bottom_overlapping_pairs,non_bottom_touching_pairs,non_bottom_intersection_details,intersection_check_completed,intersection_check_error,doe_rejection_reason,doe_eligible,doe_source
0,37.983716804601301,2.0060221454985774,6.3617494300284232,2.9307113382146581,1.4534345692308817,18.016125376287057,2.7634468495271509,0.69920350427948319,0.40700697192134588,0.23831774162034744,0.75708909449624395,0.44330256955855701,0.70511293123196661,0.43703830607895405,0.20728857969625414,0.0029055066517114604,0.95456208795279196,0.9981410470196217,0.67383723443479682,0.84400164813393297,0.74693260819077645,0.090753121569307371,0.9331378165569657,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 20.22, 0 20.22), (0 20.22, -0.5 20.22))""}}",True,,,True,lhs
1,36.654244145415063,2.2466059231796569,8.737201312624757,3.0666620146797841,2.2176116326975324,11.219531255089116,3.2982874464415803,0.54072218375385417,0.022616532652503706,0.057608400306538549,0.13380640505153432,0.28000873405834537,0.54946765825329869,0.85827203896635529,0.34566362074449175,0.465698988422514,0.78378135089591239,0.35103890023395501,0.55216656341453951,0.85508721480864636,0.34929411803390226,0.82967367331800457,0.5661351400578204,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 21.76, 0 21.76), (0 21.76, -0.5 21.76))""}}",True,,,True,lhs
2,35.035074183927037,2.1598730987863601,4.9007196468707797,2.5802013281494327,2.7146680769501952,10.28942214021504,4.4820618486199395,0.031630280640814509,0.98470365240690749,0.32840459912961756,0.061147637583626763,0.099296035791877707,0.77144237081218658,0.85000334496011321,0.61384560401151633,0.48527622292234551,0.70505423086279817,0.60450446352010823,0.62650451021383935,0.21660041353801196,0.45892311761525495,0.5129825679033394,0.50099760751702138,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 23.36, 0 23.36), (0 23.36, -0.5 23.36))""}}",True,,,True,lhs
3,31.312874925876926,2.4383099262984276,4.2230690436123481,2.5421133191711736,2.928913043122888,11.52600792739582,2.8309405773388163,0.30029454187563842,0.19867803828808886,0.71180747829583646,0.4455036982905079,0.62243232802835391,0.0094530174959427983,0.57675235786800627,0.6484559915696344,0.7242796904907487,0.94429146670258335,0.99724691707009294,0.77657853475459337,0.43421175996469236,0.39416104921189443,0.49065976887472168,0.15242046720696534,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 22.2, 0 22.2), (0 22.2, -0.5 22.2))""}}",True,,,True,lhs
4,57.972659735143083,2.6277373540927784,8.9276342401510753,3.4520550158527934,2.9012524921921958,16.354307768085775,5.7908710970717081,0.29479177292232472,0.49703830147284545,0.53973917281077444,0.09798246118733861,0.13640100651734421,0.98189131287529785,0.066394013830728543,0.94471364192613538,0.061445700921898862,0.83371432170999538,0.39424870832750614,0.063842830509866971,0.11233730214473509,0.35767640749458229,0.70732358966803199,0.46954271294227151,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 25.32, 0 25.32), (0 25.32, -0.5 25.32))""}}",True,,,True,lhs
5,45.878287856962856,2.232041006902679,8.2224752671604122,3.777738795893903,2.3938471039761335,12.954790588743396,4.7274850430305788,0.53084752136647406,0.19712325379025164,0.77913731568573674,0.6404976243729199,0.084923429924193633,0.81768002963699327,0.075591221358298252,0.94586108680441139,0.77451402549836856,0.068768183507280492,0.060301104265135949,0.47534447831778803,0.13180244927416757,0.072753751794968277,0.83600853349746673,0.68124581054903821,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 23.36, 0 23.36), (0 23.36, -0.5 23.36))""}}",True,,,True,lhs
6,35.118447450969981,1.4313773106264205,4.8894064798112948,2.2994531069343238,2.04309544571315,13.92361281017088,3.6586073115480615,0.6069730803044292,0.60243672585431318,0.37339720169797336,0.21557126238116231,0.59182843239021243,0.38402392766707794,0.46714660098026506,0.78988352505457748,0.47880268928695113,0.94662373666159982,0.29365415335352379,0.001459866620796954,0.8848549556212002,0.14082739652476831,0.81789893763918187,0.071818458461422777,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 21.14, 0 21.14), (0 21.14, -0.5 21.14))""}}",True,,,True,lhs
7,53.388346211720197,2.1761545920275487,6.2956609730940185,2.162173758673636,1.4155411167250767,16.576134859549889,3.951855636084399,0.10441471469801199,0.46332327682830965,0.69044866823234308,0.10541671533755315,0.09649171408345382,0.41575327121099848,0.45553532820011394,0.64403815092575456,0.30868574241482188,0.074418044791674409,0.1865652313429419,0.10498194466231078,0.44913263552493904,0.03970807074820195,0.094304195361974708,0.79318155491657427,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 21.55, 0 21.55), (0 21.55, -0.5 21.55))""}}",True,,,True,lhs
8,37.737265768337565,2.5045042808616174,8.2027984205640454,2.9627178752608838,1.65608170460788,19.85078310439982,2.5872385522728054,0.24533534479620037,0.98790097227171092,0.26985258716541577,0.73389282675548839,0.63212093123980784,0.13145977020380079,0.44108021892265564,0.66718083253417848,0.66478639768800707,0.38819390875370002,0.04655181698645465,0.086485486262144681,0.36312345374418531,0.90518601095161166,0.28366256777598747,0.48981011820848758,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 20.75, 0 20.75), (0 20.75, -0.5 20.75))""}}",True,,,True,lhs
9,35.164509009016641,1.0386008398010307,4.6381878545531015,3.1439329855846263,2.612279432025554,7.684911087951467,2.5621806213732636,0.4817810224470146,0.47009462399521146,0.5054798915797053,0.36447165069156917,0.99387086850987072,0.0040645622403423926,0.26490549669589669,0.81344488948781546,0.03467731336450728,0.11817929640415484,0.75083588671555246,0.47048201022936087,0.32000268997236275,0.60036270918612633,0.69345542351411793,0.35868530287922251,False,ValueError: producer reported invalid exported polygon(s): Patch,,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 20.21, 0 20.21), (0 20.21, -0.5 20.21))""}}",True,,ValueError: producer reported invalid exported polygon(s): Patch,False,lhs
