sample_id,SLOT_MAIN_LENGTH,SLOT_MAIN_HEIGHT,PATCH_BRICK_1_SIDE_MARGIN,PATCH_BRICK_1_TOP_MARGIN,PATCH_BRICK_3_BOTTOM_MARGIN,PATCH_BRICK_2_HEIGHT_MARGIN,PATCH_BRICK_4_MARGIN,UPPER_CORNER_NOTCH_1_K1,UPPER_CORNER_NOTCH_1_K2,UPPER_CORNER_EAR_1_K1,UPPER_CORNER_EAR_1_K2,LOWER_CORNER_NOTCH_1_K1,LOWER_CORNER_NOTCH_1_K2,LOWER_CORNER_EAR_1_K1,LOWER_CORNER_EAR_1_K2,LOWER_CORNER_EAR_2_K1,LOWER_CORNER_EAR_2_K2,BRANCH_UP_1_K,BRANCH_UP_1_K2,BRANCH_UP_1_K3,BRANCH_DOWN_1_K,BRANCH_DOWN_1_K2,BRANCH_DOWN_1_K3,geometry_valid,geometry_error,final_conductor_components,allowed_bottom_y_mm,bottom_contact_pairs,non_bottom_intersection,non_bottom_intersection_pairs,non_bottom_crossing_pairs,non_bottom_overlapping_pairs,non_bottom_touching_pairs,non_bottom_intersection_details,intersection_check_completed,intersection_check_error,doe_rejection_reason,doe_eligible,doe_source
0,55.478771686274563,1.945903979241848,6.0015238422900437,2.4953205640614029,2.085929913632572,14.682655668351799,4.0109586555510761,0.50184523221105337,0.13228889368474483,0.25451439712196589,0.68327298760414124,0.12408157158643007,0.33982075471431017,0.76772933546453714,0.38539988175034523,0.19427075982093811,0.82927930634468794,0.46453751437366009,0.78495809528976679,0.77825045399367809,0.58382190577685833,0.25012670550495386,0.44342545606195927,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 22.04, 0 22.04), (0 22.04, -0.5 22.04))""}}",True,,,True,sobol
1,50.860957218334072,2.0511639667674899,5.9606872742995618,2.6102738561294974,1.93294029366225,15.177701496519148,3.8795674242079259,0.014203151687979698,0.93963604141026735,0.80085145216435194,0.43413313012570143,0.88857469242066145,0.61947720963507891,0.032536208629608154,0.62631978094577789,0.66027750261127949,0.36966500896960497,0.97320950031280518,0.16345689911395311,0.49931026063859463,0.28874321933835745,0.81064364220947027,0.98597547318786383,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 21.87, 0 21.87), (0 21.87, -0.5 21.87))""}}",True,,,True,sobol
2,52.70873964484781,1.9979485541582107,6.1830510523170235,2.5951680384576323,1.9983082115650177,15.477584847249091,4.1956555303186178,0.42323175352066755,0.72565356083214283,0.64768711943179369,0.24960989877581596,0.60366604384034872,0.081924929283559322,0.54002958070486784,0.79393529891967773,0.36130697652697563,0.049217890948057175,0.019839235581457615,0.40404628310352564,0.54577101673930883,0.96817090734839439,0.63535187020897865,0.24512366391718388,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 22.19, 0 22.19), (0 22.19, -0.5 22.19))""}}",True,,,True,sobol
3,53.641386332269761,2.0053815869614482,5.7785751102492204,2.7074578796885911,2.0453178524971007,14.285314163658768,3.9138128101825713,0.93559014983475208,0.40848142001777887,0.16378119494765997,0.99291688110679388,0.39922650251537561,0.86159473564475775,0.27689761109650135,0.038096863776445389,0.76859795860946178,0.52515319176018238,0.5424119895324111,0.52448844630271196,0.20065318699926138,0.16901046503335238,0.17639834620058537,0.69990321900695562,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 21.96, 0 21.96), (0 21.96, -0.5 21.96))""}}",True,,,True,sobol
4,54.267504017055039,1.9621956346556544,5.8824429089203472,2.678885066304356,2.006012920476496,14.969907771795988,4.1433609291911129,0.30167490523308516,0.54741432704031467,0.92815624456852674,0.11871280986815691,0.36248811148107052,0.16332013811916113,0.16666868701577187,0.12898126430809498,0.94567570369690657,0.64772984012961388,0.64015974570065737,0.37379411794245243,0.97617567609995604,0.74327654857188463,0.45054285135120153,0.032330557703971863,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 22.11, 0 22.11), (0 22.11, -0.5 22.11))""}}",True,,,True,sobol
5,52.051344776991755,2.0407256543636323,6.0803815931081777,2.5668338656052949,1.950311897136271,15.265723766293377,3.9721642922610045,0.80811581201851368,0.36506723705679178,0.38172763679176569,0.87369285337626934,0.62680694460868835,0.88145697023719549,0.90025993902236223,0.89054905436933041,0.4166796961799264,0.18445424921810627,0.17257967125624418,0.74456337653100491,0.25413523893803358,0.38612498715519905,0.98768401239067316,0.52213138807564974,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 21.96, 0 21.96), (0 21.96, -0.5 21.96))""}}",True,,,True,sobol
6,51.580362198036163,1.9062571926042438,5.7080188276246187,2.6472096920944752,1.918440071120858,15.577337579336017,4.0530946217477322,0.62931194063276052,0.079019172117114067,0.03690603282302618,0.56029342208057642,0.84970197454094887,0.42102332133799791,0.39105633459985256,0.53347990475594997,0.62431205715984106,0.48833765368908644,0.81296177394688129,0.93817763961851597,0.70865511335432529,0.86291560437530279,0.57020383514463902,0.27738814055919647,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 21.87, 0 21.87), (0 21.87, -0.5 21.87))""}}",True,,,True,sobol
7,54.748873559571805,2.0904262915253642,6.2553926311433319,2.5314782377704979,2.0627382609993221,14.560836341232061,3.8313728604465722,0.13575237058103085,0.7711912514641881,0.5207814397290349,0.30723190493881702,0.14545436389744282,0.63916587550193071,0.65920874383300543,0.29073791392147541,0.029031929560005665,0.96841871459037066,0.37429710850119591,0.066515257582068443,0.052792312577366829,0.0018043573945760727,0.11900295689702034,0.79269975889474154,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 21.99, 0 21.99), (0 21.99, -0.5 21.99))""}}",True,,,True,sobol
8,54.569349161162975,1.9824154756963253,5.7703740784898399,2.5474147481471299,1.9380724152550102,14.420368934981525,4.1084725219756368,0.34505926165729761,0.6044955886900425,0.22310198005288839,0.34559628181159496,0.0086226826533675194,0.98224677424877882,0.47527231369167566,0.86797299422323704,0.89959741849452257,0.11574023589491844,0.60112116951495409,0.25895371567457914,0.59020857885479927,0.68034652806818485,0.88489944022148848,0.33909711614251137,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 22.03, 0 22.03), (0 22.03, -0.5 22.03))""}}",True,,,True,sobol
9,51.112934138346461,2.0146526252850889,6.2662608459591871,2.6962729337625211,2.0933103820309045,15.437059738207608,3.9757997430860996,0.85766513645648956,0.2952639227733016,0.7079842584207654,0.60036258120089769,0.99437655601650476,0.19966069143265486,0.70884428173303604,0.11249668709933758,0.49585419800132513,0.5909555722028017,0.086620303802192211,0.63820686098188162,0.18747420236468315,0.44808160047978163,0.42588613647967577,0.85601271782070398,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 22.09, 0 22.09), (0 22.09, -0.5 22.09))""}}",True,,,True,sobol
