sample_id,simulation_mode,selection_rank,acquisition_type,acquisition_rank_within_type,selection_reason,source,source_case_id,source_ffs_sha256,geometry_valid,geometry_error,final_conductor_components,return_loss_db,predicted_s21_power,predicted_ebn0_db,uncertainty_log10_s21_power,uncertainty_negative_ebn0_db,roi_metric_linear,three_objective_nondominated,SLOT_MAIN_LENGTH,SLOT_MAIN_HEIGHT,PATCH_BRICK_1_SIDE_MARGIN,PATCH_BRICK_1_TOP_MARGIN,PATCH_BRICK_3_BOTTOM_MARGIN,PATCH_BRICK_2_HEIGHT_MARGIN,PATCH_BRICK_4_MARGIN,UPPER_CORNER_NOTCH_1_K1,UPPER_CORNER_NOTCH_1_K2,UPPER_CORNER_EAR_1_K1,UPPER_CORNER_EAR_1_K2,LOWER_CORNER_NOTCH_1_K1,LOWER_CORNER_NOTCH_1_K2,LOWER_CORNER_EAR_1_K1,LOWER_CORNER_EAR_1_K2,LOWER_CORNER_EAR_2_K1,LOWER_CORNER_EAR_2_K2,BRANCH_UP_1_K,BRANCH_UP_1_K2,BRANCH_UP_1_K3,BRANCH_DOWN_1_K,BRANCH_DOWN_1_K2,BRANCH_DOWN_1_K3
al01_cal_01,propagation_s21,1,calibration,1,bootstrap uncertainty plus distance from prior propagation labels,msabp-krvea-11var-smoke-128-001,krvea_0027,ffad693edb44b3429338a208426091e9bfa5285093dc760c3cfd3c34058aed12,True,,1,7.8910834000000012,0.00010023541677076997,57.535079019873542,0.11711069818207714,1.5286053609953743,0.55421885206138799,False,58.203455069536282,2,6.4050392789036747,2.7783410210368276,2,14.557752719294593,4,0.5886695847347273,0.96811138265407837,0.39827765748830568,0.01329172647106878,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.47452008084839892,0.97114158718282262,0.63460180270310562,0.5,0.5,0
al01_cal_02,propagation_s21,2,calibration,2,bootstrap uncertainty plus distance from prior propagation labels,doe-11var-branch-up-lhs-512-001,232,2021295a00f444a2309cde07f172405af053dde83dd57156ff9628b180cfeaff,True,,1,7.0365026000000039,0.00013287984856734782,54.64449844328837,0.099177170478027335,1.2889762984838071,0.80345963439080581,False,54.653752565057076,2,6.5983781356631868,2.4644519051044664,2,13.677704981606857,4,0.64341174888229946,0.92256937666917105,0.29934721095175759,0.11638915948104996,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.38843128662270787,0.17387404963799385,0.16744341744980826,0.5,0.5,0
al01_cal_03,propagation_s21,3,calibration,3,bootstrap uncertainty plus distance from prior propagation labels,doe-11var-branch-up-lhs-512-001,333,337b3cbdfc41741998e3200bdc470520ed3bb28c116aa437fe39a82da71894cb,True,,1,7.1907703000000032,0.00019559884567740851,53.591417709778909,0.10088205101233422,1.4958834103238738,0.93256813791109916,False,55.549025188705244,2,5.7240432497250335,2.5234638171755717,2,13.864962704529317,4,0.74133402949614624,0.90837651396501096,0.37375279367246106,0.083635674082306058,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.49247035228118491,0.61664620815938342,0.36074707561470953,0.5,0.5,0
al01_cal_04,propagation_s21,4,calibration,4,bootstrap uncertainty plus distance from prior propagation labels,doe-11var-branch-up-lhs-512-001,48,d71456f4cbcb2a1114aad4a475689acf56cad4d45848b42d4fc4910c6c78cdd9,True,,1,7.4581019000000017,0.00025432615966564429,52.719741895532756,0.073277106050083321,1.2167423536687452,1.0166124263045506,False,57.464077332289158,2,5.4560887291061295,2.4814749270360701,2,14.618941744541088,4,0.62463638650313436,0.9755671888663805,0.32067371758088403,0.15390289193185028,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.57011267373007224,0.20782035803798071,0.63250845142159673,0.5,0.5,0
al01_cal_05,propagation_s21,5,calibration,5,bootstrap uncertainty plus distance from prior propagation labels,msabp-krvea-11var-stage2-learned-64-006,krvea_0001,efe6dae041fdcf6e758ffdc9bb327859a8bea52d411e61f5cfeb711f03168de8,True,,1,7.0189068000000008,0.00021767441772802904,54.126605115257547,0.085173615866581162,1.3483806827167861,0.87122917399635691,False,55.718051805569146,2,6.3060393115099789,2.3411735914202056,2,15.236499971870003,4,0.58237232005457062,0.87414804484536712,0.50700302319501289,0.0030797593518408564,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.078070910200837174,0.98110208211918248,0.18481083194058306,0.5,0.5,0
al01_cal_06,propagation_s21,6,calibration,6,bootstrap uncertainty plus distance from prior propagation labels,doe-11var-branch-up-lhs-512-001,364,39f6cb0669ac75afada16110cfe5de6782cfde8505fc7e050a7aeac0b2cb2e20,True,,1,8.1265890963162803,0.00027381311742871544,51.676242512843601,0.054291896872625485,0.86755212331978659,1.1302190615905878,False,52.817166230045856,2,6.1204859283436983,2.6872873972014757,2,14.99473883536217,4,0.66878636007745784,0.85945292015967767,0.29880754899401729,0.17489753153004325,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.42511618345348967,0.30121283682390171,0.28517884215337319,0.5,0.5,0
al01_cal_07,propagation_s21,7,calibration,7,bootstrap uncertainty plus distance from prior propagation labels,doe-11var-branch-up-lhs-512-001,468,22be59297dd2e78052da68d882166f3a27b16764275555217546cbd008f4a96c,True,,1,8.5644192597728868,0.00012544253315406465,54.903680065151264,0.067170356909449377,0.79215708348857639,0.58115597092588334,False,54.936803695277838,2,5.7271478638067244,2.4500371425501415,2,15.179464027434248,4,0.62040338581001042,0.96463809390647937,0.43901989323467228,0.030848885575360311,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.40445939764344002,0.87550662898884279,0.77187287382435599,0.5,0.5,0
al01_cal_08,propagation_s21,8,calibration,8,bootstrap uncertainty plus distance from prior propagation labels,doe-11var-branch-up-lhs-512-001,350,da668dac03e02bfb529037027c0090295844bc924a79ccc01aae5843a8d44527,True,,1,7.9637637000000003,0.00011297464269822948,55.080398834389023,0.087140963633382904,1.0249538214696992,0.54415476196132018,False,53.930138438739725,2,6.0841116813947052,2.7106754733168152,2,13.50635769558464,4,0.61207267774613094,0.96932609490398303,0.4146808193508702,0.24687095992126876,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.39688414411964779,0.7236019001890297,0.27784109076922947,0.5,0.5,0
al01_exp_01,propagation_s21,9,exploitation,1,joint optimistic S21/EbN0 prediction on the retained three-objective Pareto set,doe-11var-branch-up-lhs-512-001,66,b03f667600d49cf51e4b2ce9d1a84e608d8421cd9993d6a658e46314a5c5075b,True,,1,7.6675734000000002,0.00022165463287666387,52.506472409070916,0.086938117095050588,1.3183191762156996,1.05507110851325,True,53.042479692641976,2,6.5478706429316258,2.578980596134167,2,14.093183794137957,4,0.70875933901464305,0.80751755569865491,0.2765942268903967,0.031840185515576713,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.45570545697445897,0.52596726328426058,0.32822450244358398,0.5,0.5,0
al01_exp_02,propagation_s21,10,exploitation,2,joint optimistic S21/EbN0 prediction on the retained three-objective Pareto set,doe-11var-branch-up-lhs-512-001,192,aba831b4a0ba8d23d3b196c6043764622e054d9deca1b07bb9f8f01dee89b451,True,,1,7.4803689999999996,0.00024032557676588316,53.447232100125667,0.11303122576542428,1.7136189574498124,1.1910116966136177,True,58.281890312673909,2,5.4535166378155644,2.7989063076468859,2,14.164917670812837,4,0.68516166031403847,0.9005284186543967,0.29780446544706485,0.011509605692556133,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.52164745539069757,0.71332847810889755,0.34150574741636952,0.5,0.5,0
